# Data section pointers to code (.text)
# DataAddr | TargetAddr | TargetFunction
#---
0x095018 | 0x06FB50 | (none)
0x095030 | 0x06FC30 | (none)
0x095048 | 0x06FE10 | (none)
0x095060 | 0x0701F0 | (none)
0x095078 | 0x0702B0 | (none)
0x095090 | 0x070470 | (none)
0x0950B8 | 0x07189E | (none)
0x0950C0 | 0x0718A2 | (none)
0x0950C8 | 0x0718BC | (none)
0x0950D8 | 0x0718CA | (none)
0x095168 | 0x006D65 | inside FUN_00005b58
0x097BD0 | 0x07AC3D | (none)
0x097BD8 | 0x07AC42 | (none)
0x097BE0 | 0x071710 | (none)
0x097BE8 | 0x07AC50 | (none)
0x097BF0 | 0x07239B | (none)
0x097C00 | 0x07AC3D | (none)
0x097C08 | 0x07AC53 | (none)
0x097C10 | 0x071710 | (none)
0x097C18 | 0x07AC50 | (none)
0x097C20 | 0x07239B | (none)
0x097C30 | 0x07AC3D | (none)
0x097C38 | 0x07AC5C | (none)
0x097C40 | 0x071710 | (none)
0x097C48 | 0x07AC50 | (none)
0x097C50 | 0x07239B | (none)
0x097C60 | 0x07AC3D | (none)
0x097C68 | 0x07AC66 | (none)
0x097C70 | 0x071710 | (none)
0x097C78 | 0x07AC50 | (none)
0x097C80 | 0x07239B | (none)
0x097C90 | 0x07AC3D | (none)
0x097C98 | 0x07AC71 | (none)
0x097CA0 | 0x071710 | (none)
0x097CA8 | 0x07AC50 | (none)
0x097CB0 | 0x07239B | (none)
0x097CC0 | 0x07AC3D | (none)
0x097CC8 | 0x07AC7B | (none)
0x097CD0 | 0x071710 | (none)
0x097CD8 | 0x07AC50 | (none)
0x097CE0 | 0x07239B | (none)
0x097CF0 | 0x07AC3D | (none)
0x097CF8 | 0x07AC86 | (none)
0x097D00 | 0x071710 | (none)
0x097D08 | 0x07AC50 | (none)
0x097D10 | 0x07239B | (none)
0x097D20 | 0x07AC3D | (none)
0x097D28 | 0x07AC91 | (none)
0x097D30 | 0x071710 | (none)
0x097D38 | 0x07AC50 | (none)
0x097D40 | 0x07239B | (none)
0x097D50 | 0x07AC3D | (none)
0x097D58 | 0x07AC9E | (none)
0x097D60 | 0x071710 | (none)
0x097D68 | 0x07AC50 | (none)
0x097D70 | 0x07239B | (none)
0x097D80 | 0x07AC3D | (none)
0x097D88 | 0x07ACAF | (none)
0x097D90 | 0x071710 | (none)
0x097D98 | 0x07AC50 | (none)
0x097DA0 | 0x07239B | (none)
0x097DB0 | 0x07AC3D | (none)
0x097DB8 | 0x07ACBC | (none)
0x097DC0 | 0x071710 | (none)
0x097DC8 | 0x07AC50 | (none)
0x097DD0 | 0x07239B | (none)
0x097DE0 | 0x07AC3D | (none)
0x097DE8 | 0x07ACC8 | (none)
0x097DF0 | 0x071710 | (none)
0x097DF8 | 0x07AC50 | (none)
0x097E00 | 0x07239B | (none)
0x097E10 | 0x07AC3D | (none)
0x097E18 | 0x07ACD5 | (none)
0x097E20 | 0x071710 | (none)
0x097E28 | 0x07AC50 | (none)
0x097E30 | 0x07239B | (none)
0x097E40 | 0x07AC3D | (none)
0x097E48 | 0x07ACE2 | (none)
0x097E50 | 0x071710 | (none)
0x097E58 | 0x07AC50 | (none)
0x097E60 | 0x07239B | (none)
0x097E70 | 0x07AC3D | (none)
0x097E78 | 0x07ACEF | (none)
0x097E80 | 0x071710 | (none)
