# Functions found by Ghidra auto-analysis
# Address | Size | Name | Signature
#---
0x001000 |    172 | entry | undefined8 entry(longlong param_1, longlong param_2)
0x0010AC |    232 | FUN_000010ac | undefined8 FUN_000010ac(longlong param_1, longlong param_2)
0x001194 |    816 | FUN_00001194 | undefined FUN_00001194(longlong param_1, longlong param_2)
0x0014C4 |    180 | FUN_000014c4 | undefined FUN_000014c4(undefined8 param_1, longlong param_2)
0x001578 |     56 | FUN_00001578 | undefined FUN_00001578(void)
0x0015B0 |     88 | FUN_000015b0 | byte FUN_000015b0(void)
0x001608 |   2344 | FUN_00001608 | ulonglong FUN_00001608(void)
0x001F30 |     60 | FUN_00001f30 | undefined8 FUN_00001f30(void)
0x001F6C |     60 | FUN_00001f6c | undefined8 FUN_00001f6c(void)
0x001FA8 |   6384 | FUN_00001fa8 | longlong FUN_00001fa8(char * param_1)
0x003898 |    216 | FUN_00003898 | undefined FUN_00003898(longlong param_1)
0x003970 |    324 | FUN_00003970 | longlong FUN_00003970(undefined8 * param_1, ulonglong param_2, undefined8 * param_3)
0x003AB4 |    208 | FUN_00003ab4 | longlong FUN_00003ab4(longlong param_1, char * param_2)
0x003B84 |     96 | FUN_00003b84 | undefined FUN_00003b84(longlong * param_1, uint param_2)
0x003BE4 |    116 | FUN_00003be4 | ulonglong FUN_00003be4(uint param_1)
0x003C58 |    540 | FUN_00003c58 | longlong FUN_00003c58(longlong * param_1)
0x003E74 |   1004 | FUN_00003e74 | longlong FUN_00003e74(byte * param_1)
0x004260 |    440 | FUN_00004260 | longlong FUN_00004260(undefined8 * param_1, longlong param_2)
0x004418 |    360 | FUN_00004418 | longlong FUN_00004418(undefined1 * param_1)
0x004580 |    260 | FUN_00004580 | undefined FUN_00004580(longlong param_1)
0x004684 |    276 | FUN_00004684 | undefined FUN_00004684(longlong param_1, longlong param_2, undefined4 param_3)
0x004798 |    244 | FUN_00004798 | longlong FUN_00004798(longlong param_1)
0x00488C |    924 | FUN_0000488c | undefined8 FUN_0000488c(ulonglong * param_1, int * param_2)
0x004C28 |    180 | FUN_00004c28 | undefined8 FUN_00004c28(byte * param_1, ulonglong param_2, char * param_3, longlong param_4, undefined8 * param_5)
0x004E04 |   3412 | FUN_00004e04 | uint FUN_00004e04(longlong param_1, longlong * param_2, char * param_3, uint param_4, int param_5, undefined8 * param_6)
0x005B58 |   6396 | FUN_00005b58 | uint FUN_00005b58(longlong param_1, undefined8 * param_2, char * param_3, uint param_4, uint param_5, uint param_6, uint param_7, byte * param_8, ulonglong param_9, byte * param_10, ulonglong param_11, longlong param_12, undefined4 * param_13)
0x007454 |    116 | FUN_00007454 | ulonglong FUN_00007454(uint param_1)
0x0074C8 |    264 | FUN_000074c8 | undefined FUN_000074c8(longlong * param_1)
0x0075D0 |    168 | FUN_000075d0 | char * FUN_000075d0(uint param_1)
0x007678 |    280 | FUN_00007678 | undefined8 FUN_00007678(longlong param_1, char * param_2, char * param_3)
0x007790 |    100 | FUN_00007790 | undefined FUN_00007790(longlong param_1, char * param_2, ulonglong param_3)
0x0077F4 |    244 | FUN_000077f4 | ulonglong FUN_000077f4(longlong param_1, char * param_2, byte * param_3, longlong param_4)
0x0078E8 |    156 | FUN_000078e8 | undefined FUN_000078e8(ulonglong param_1, byte * param_2)
0x007984 |     60 | FUN_00007984 | undefined FUN_00007984(byte * param_1, byte * param_2, longlong param_3)
0x0079C0 |     56 | FUN_000079c0 | undefined FUN_000079c0(undefined8 * param_1, undefined8 * param_2, ulonglong param_3)
0x0079F8 |     68 | FUN_000079f8 | undefined FUN_000079f8(uint * param_1, byte param_2, ulonglong param_3)
0x007A3C |     60 | FUN_00007a3c | undefined FUN_00007a3c(char * param_1, char * param_2)
0x007A78 |     60 | FUN_00007a78 | undefined FUN_00007a78(char * param_1, char * param_2, ulonglong param_3)
0x007AB4 |     56 | FUN_00007ab4 | undefined FUN_00007ab4(char * param_1)
0x007AEC |    100 | FUN_00007aec | undefined FUN_00007aec(void)
0x007B50 |    144 | FUN_00007b50 | undefined FUN_00007b50(uint param_1, byte * param_2)
0x007BE0 |    200 | FUN_00007be0 | undefined FUN_00007be0(uint param_1, byte * param_2)
0x007CA8 |     56 | FUN_00007ca8 | undefined FUN_00007ca8(ulonglong param_1)
0x007CE0 |     56 | FUN_00007ce0 | undefined FUN_00007ce0(void)
0x007D18 |     60 | FUN_00007d18 | uint FUN_00007d18(uint param_1)
0x007D54 |     60 | FUN_00007d54 | ulonglong FUN_00007d54(ulonglong param_1)
