# String cross-references for exploit-relevant strings
# StringAddr | String | RefFrom | RefType | Function
#---
0x06C414 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0010EC | PARAM | FUN_000010ac @ 0x10ac
0x06C414 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x001120 | PARAM | FUN_000010ac @ 0x10ac
0x06C414 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x001158 | PARAM | FUN_000010ac @ 0x10ac
0x06C748 | "Multi Slot boot is supported\n" | 0x012B18 | PARAM | FUN_00012010 @ 0x12010
0x06C748 | "Multi Slot boot is supported\n" | 0x001820 | PARAM | FUN_00001608 @ 0x1608
0x06C748 | "Multi Slot boot is supported\n" | 0x010DF8 | PARAM | FUN_000107d8 @ 0x107d8
0x06C784 | "Failed to get Reboot reason: %r\n" | 0x001BA0 | PARAM | FUN_00001608 @ 0x1608
0x06C883 | "Fastboot=%d, Recovery:%d\n" | 0x001E60 | PARAM | FUN_00001608 @ 0x1608
0x06C8D4 | "Launching fastboot\n" | 0x001D7C | PARAM | FUN_00001608 @ 0x1608
0x06C8E8 | "Failed to Launch Fastboot App: %d\n" | 0x001E00 | PARAM | FUN_00001608 @ 0x1608
0x06C9F6 | "boot" | 0x0123D4 | PARAM | FUN_00012010 @ 0x12010
0x06C9F6 | "boot" | 0x01277C | PARAM | FUN_00012010 @ 0x12010
0x06C9F6 | "boot" | 0x012AD8 | PARAM | FUN_00012010 @ 0x12010
0x06C9F6 | "boot" | 0x02D8B4 | PARAM | FUN_0002d8a4 @ 0x2d8a4
0x06C9F6 | "boot" | 0x016284 | PARAM | FUN_00016248 @ 0x16248
0x06C9F6 | "boot" | 0x0162B4 | PARAM | FUN_00016248 @ 0x16248
0x06C9F6 | "boot" | 0x01631C | PARAM | FUN_00016248 @ 0x16248
0x06C9F6 | "boot" | 0x035898 | PARAM | FUN_00034a9c @ 0x34a9c
0x06C9F6 | "boot" | 0x019DF8 | PARAM | FUN_00019d38 @ 0x19d38
0x06C9F6 | "boot" | 0x019E2C | PARAM | FUN_00019d38 @ 0x19d38
0x06C9F6 | "boot" | 0x0017EC | PARAM | FUN_00001608 @ 0x1608
0x06C9F6 | "boot" | 0x015E74 | PARAM | FUN_00015e4c @ 0x15e4c
0x06C9F6 | "boot" | 0x015F6C | PARAM | FUN_00015e4c @ 0x15e4c
0x06C9F6 | "boot" | 0x015F9C | PARAM | FUN_00015e4c @ 0x15e4c
0x06C9F6 | "boot" | 0x00F758 | PARAM | FUN_0000f6b8 @ 0xf6b8
0x06C9F6 | "boot" | 0x00F78C | PARAM | FUN_0000f6b8 @ 0xf6b8
0x06C9F6 | "boot" | 0x0027D8 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06C9F6 | "boot" | 0x00280C | PARAM | FUN_00001fa8 @ 0x1fa8
0x06C9F6 | "boot" | 0x00250C | PARAM | FUN_00001fa8 @ 0x1fa8
0x06C9F6 | "boot" | 0x002558 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06C9F6 | "boot" | 0x002180 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06C9F6 | "boot" | 0x0021CC | PARAM | FUN_00001fa8 @ 0x1fa8
0x06C9F6 | "boot" | 0x010C10 | PARAM | FUN_000107d8 @ 0x107d8
0x06C9F6 | "boot" | 0x0250E4 | PARAM | FUN_000247c0 @ 0x247c0
0x06C9F6 | "boot" | 0x014058 | PARAM | (none)
0x06C9F6 | "boot" | 0x0141FC | PARAM | (none)
0x06C9F6 | "boot" | 0x01422C | PARAM | (none)
0x06C9F6 | "boot" | 0x00F998 | PARAM | (none)
0x06C9F6 | "boot" | 0x0147B8 | PARAM | FUN_00014790 @ 0x14790
0x06CA86 | "No bootable slot\n" | 0x002140 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06CC4E | " androidboot.verifiedbootstate=" | 0x003404 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06CC82 | " androidboot.keymaster=1" | 0x0034B0 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06CD52 | "State: Unlocked, AvbSlotVerify returned %a, continue boot\n" | 0x002BCC | PARAM | FUN_00001fa8 @ 0x1fa8
0x06CD52 | "State: Unlocked, AvbSlotVerify returned %a, continue boot\n" | 0x002FC4 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06CDBF | "Unlocked" | 0x003008 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06CF29 | "Invalid boot image header:%r\n" | 0x00339C | PARAM | FUN_00001fa8 @ 0x1fa8
0x06CF58 | "com.android.build.boot.security_patch" | 0x003684 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06CF7E | "VB2: Authenticate complete! boot state is: %a\n" | 0x003870 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06CFAD | "No bootable slots found enter fastboot mode\n" | 0x002710 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06CFDA | "Non Multi-slot: Unbootable entering fastboot mode\n" | 0x00273C | PARAM | FUN_00001fa8 @ 0x1fa8
0x06D00D | "VB2: boot state: %a(%d)\n" | 0x002774 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06D06C | "Your device is corrupt. It can't be trusted and will not boot.\nYour device wi..." | 0x0028D4 | PARAM | FUN_00001fa8 @ 0x1fa8
0x06D0D5 | "Device is unlocked, Skipping boot verification\n" | 0x00293C | PARAM | FUN_00001fa8 @ 0x1fa8
0x06D30E | "Invalid state to boot!\n" | 0x004150 | PARAM | FUN_00003e74 @ 0x3e74
0x06D672 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x004D90 | PARAM | (none)
0x06D672 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x004924 | PARAM | FUN_0000488c @ 0x488c
0x06D672 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x004B68 | PARAM | FUN_0000488c @ 0x488c
0x06D672 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x004BA8 | PARAM | FUN_0000488c @ 0x488c
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005C4C | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005D30 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005D98 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005E3C | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005FF0 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005F0C | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00633C | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0062E8 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005F84 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00616C | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0061CC | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006234 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0062A8 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0063E4 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006574 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0066E0 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006F20 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00688C | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006BA4 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006D0C | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006CCC | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006E28 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006E78 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006D4C | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006AB0 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006A30 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0073B0 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x007330 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0073F0 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x007370 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0072F0 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0070F4 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006F6C | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x007020 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x007264 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x007218 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0071D8 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00713C | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x00668C | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006520 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006474 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006634 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x0065E0 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x006108 | PARAM | FUN_00005b58 @ 0x5b58
0x06D7E0 | "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/bootable/bootloader/edk2..." | 0x005DD8 | PARAM | FUN_00005b58 @ 0x5b58
