================================================================================
PE HEADER ANALYSIS: LinuxLoader-terry.efi
================================================================================

File size: 741376 bytes (0xb5000)
Machine: 0xaa64 (AArch64)
Number of sections: 3
Image base: 0x0
Entry point (RVA): 0x1000
Section alignment: 0x1000
File alignment: 0x1000
Image size: 0xb5000

--- SECTIONS ---
  .text       VA=0x001000  VSize=0x094000  RawOff=0x001000  RawSize=0x094000  Chars=0x60000020
  .data       VA=0x095000  VSize=0x01d000  RawOff=0x095000  RawSize=0x01d000  Chars=0xc0000040
  .reloc      VA=0x0b2000  VSize=0x003000  RawOff=0x0b2000  RawSize=0x003000  Chars=0x42000040

.text code boundary: 0x95000

================================================================================
STRING ANALYSIS
================================================================================
Total strings extracted: 4352 (saved to all_strings.txt)

--- BOOT_FLOW (89 matches) ---
  FileOff=0x06c4ea  RVA=0x06c4ea  "LinuxLoader"
  FileOff=0x06c517  RVA=0x06c517  "/disk/jenkins/workspace/aloha/Cipher-non-hlos-10/src/out/ABL_OBJ/Build/DEBUG_CLANG35/AARCH64/QcomModulePkg/Application/L"
  FileOff=0x06c66f  RVA=0x06c66f  "LinuxLoader Load Address to debug ABL: 0x%llx"
  FileOff=0x06c69e  RVA=0x06c69e  "LinuxLoaderEntry Address: 0x%llx"
  FileOff=0x06c717  RVA=0x06c717  "LinuxLoader: Could not enumerate partitions: %r"
  FileOff=0x06c883  RVA=0x06c883  "Fastboot=%d, Recovery:%d"
  FileOff=0x06c8d4  RVA=0x06c8d4  "Launching fastboot"
  FileOff=0x06c8e8  RVA=0x06c8e8  "Failed to Launch Fastboot App: %d"
  FileOff=0x06cb21  RVA=0x06cb21  "FreeVerifiedBootResource"
  FileOff=0x06cc4e  RVA=0x06cc4e  " androidboot.verifiedbootstate="
  FileOff=0x06cc82  RVA=0x06cc82  " androidboot.keymaster=1"
  FileOff=0x06cfad  RVA=0x06cfad  "No bootable slots found enter fastboot mode"
  FileOff=0x06cfda  RVA=0x06cfda  "Non Multi-slot: Unbootable entering fastboot mode"
  FileOff=0x06d4b0  RVA=0x06d4b0  "SetVerifiedBootHash"
  FileOff=0x06e529  RVA=0x06e529  "androidboot.vbmeta.device"
  FileOff=0x06e567  RVA=0x06e567  "androidboot.vbmeta.avb_version"
  FileOff=0x06e5a8  RVA=0x06e5a8  "androidboot.vbmeta.device_state"
  FileOff=0x06e5d1  RVA=0x06e5d1  "androidboot.vbmeta.hash_alg"
  FileOff=0x06e5ed  RVA=0x06e5ed  "androidboot.vbmeta.size"
  FileOff=0x06e605  RVA=0x06e605  "androidboot.vbmeta.digest"
  FileOff=0x06e643  RVA=0x06e643  "androidboot.vbmeta.invalidate_on_error"
  FileOff=0x06e6c4  RVA=0x06e6c4  "androidboot.veritymode"
  FileOff=0x071526  RVA=0x071526  "Fastboot USB: Unable to free Tx Buffer"
  FileOff=0x07154e  RVA=0x07154e  "Fastboot USB: Unable to free Rx Buffer"
  FileOff=0x071576  RVA=0x071576  "Fastboot Device connected"
  FileOff=0x071591  RVA=0x071591  "Fastboot Device disconnected"
  FileOff=0x0715e3  RVA=0x0715e3  "Fastboot Build Info: %a %a"
  FileOff=0x071608  RVA=0x071608  "couldnt Start fastboot usb device, exiting"
  FileOff=0x071633  RVA=0x071633  "Fastboot: Processing commands"
  FileOff=0x071698  RVA=0x071698  "couldnt uninit fastboot"
  ... and 59 more

--- ERROR_MESSAGES (508 matches) ---
  FileOff=0x06c4f7  RVA=0x06c4f7  "ASSERT_EFI_ERROR (Status = %r)"
  FileOff=0x06c5b6  RVA=0x06c5b6  "!EFI_ERROR (Status)"
  FileOff=0x06c6f0  RVA=0x06c6f0  "Initialize the device info failed: %r"
  FileOff=0x06c766  RVA=0x06c766  "Error reading key status: %r"
  FileOff=0x06c784  RVA=0x06c784  "Failed to get Reboot reason: %r"
  FileOff=0x06c7a5  RVA=0x06c7a5  "DM VERITY ERROR"
